COLLEGE OF SCIENCE AND MATHEMATICS,,,,,,,,,,,,,,LEGENDS:,,,,,,,,,,,,LEGENDS:,,,,,,,,,,,,,LEGENDS:,,,,,,,,,,,,,LEGENDS:,,,,,,,,,,,,,,,,,,
"CHEMISTRY LABORATORY / 1ST, 2ND AND 5TH FLOOR SCIENCE COMPLEX BUILDING",,,,,,,,,,,,,,C - Complete,,,,,,INC - Incomplete,,,,,,X - Schedule,,,,,,,,P - Performed,,,,,X - Schedule,,,,,,,,,P - Performed,,,,X - Next Calibration,,,,,,,,,,,,,,,,,,
MACHINES/EQUIPMENT/INSTRUMENTS (MEI'S) MASTER PLAN FY 2024,,,,,,,,,,,,,,X - Schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P - Performed,,,,,,,,,,,,,,,,,,
No.,Manufacturer/Brand,Particulars/Name of MEI's,Type Model,QTY,Unit,Acquisition Aquired ,Serial No. ,Price PhP,Condition Please Put (/),,User Manual Code (0/1/A,Callibration Code (0/1),Memorandum Receipt (Name of Person),JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,STATUS,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,STATUS,CALIBRATION FREQUENCY,DATE CALIBRATED,CALIBRATION DUE ,CERTIFICATE NO.,TRACEABILITY,TYPE OF CALIBRATION,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,REMARKS/ STATUS
,,,,,,,,,Functional,Not functional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A) Frequently Used,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Stuart,Rotary Evaporator,RE30013,1,,,15101470,200000,/,,1,1,Allen Xerxes Mariveles,,C,,,,,,,,,,X,,,,,,,,X,,,,,,,,,,,,,,,,,,,Yearly,11/23/2023,11/23/2024,2023SMCS44765,Southern Metrology and Calibration Services,Outsourced,,,,,,,,,,,X,,Calibrated
46, Whatmann ,"Soxhlet Extraction Setup, 6 Heaters",,1,,39904,,132000,/,,1,1,Allen Xerxes Mariveles,,C,,,,,,,,,,X,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not Calibrated / Request to be added to the next calibration schedule
47,Gemmyco ,"Waterbath, Electronic",YWC-010,2,,42327,1508535,36000,/,,1,1,Fatimah Nasra Hamoy,,C,,,,,,,,,,X,,,,,,,,X,,,,,,,,,,,,,,,,,,,Yearly,10/27/2023,10/27/2024,2023-3812,DOST-10 RML,Outsourced,,,,,,,,,,X,,,Calibrated
48,,,,,,,1508532,,/,,,1,Fatimah Nasra Hamoy,,C,,,,,,,,,,X,,,,,,,,X,,,,,,,,,,,,,,,,,,,Yearly,10/27/2023,10/27/2024,2023-3811,DOST-10 RML,Outsourced,,,,,,,,,,X,,,Calibrated
49,All-American,"Steam Sterilizer, 5Liter Cap.",25X-2,2,,42327,E0015504  ,8900,/,,1,1,Allen Xerxes Mariveles,,C,,,,,,,,,,X,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not Calibrated / Request to be added to the next calibration schedule
50,,,,,,,E0015503,,,/,1,1,Allen Xerxes Mariveles,,C,,,,,,,,,,X,,,,,,,,X,,,,,,,,,,,,,,,,,,,Yearly,11/23/2023,11/23/2024,2023SMCS44765,Southern Metrology and Calibration Services,Outsourced,,,,,,,,,,,X,,Calibrated
51,Jenway ,Colorimeter,6051,1,,42327,53526,33000,/,,1,1,Fatimah Nasra Hamoy,,C,,,,,,,,,,X,,,,,,,,X,,,,,,,,,,,,,,,,,,,Yearly,11/22/2023,11/22/2024,2023SMCS44761,Southern Metrology and Calibration Services,Outsourced,,,,,,,,,,,X,,Calibrated
52,Ciba Corning ,Colorimeter,257,1,,,C1796,21000,/,,1,1,Allen Xerxes Mariveles,,C,,,,,,,,,,X,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Needs Temp Controller Replacement / Out of Service
53,Redline ,Incubator,RF 115,2,,42327,RL11-22014,89000,/,,1,1,Fatimah Nasra Hamoy,,C,,,,,,,,,,X,Needs Temp Controller Replacement,,,,,,,X,,,,,,,,,,,,,,,,,,,Yearly,11/23/2023,11/23/2024,2023SMCS44765,Southern Metrology and Calibration Services,Outsourced,,,,,,,,,,,X,,Calibrated
54,,,,,,,Rl11-22013,,,/,1,1,Fatimah Nasra Hamoy,,C,,,,,,,,,,X,Needs Temp Controller Replacement,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not Calibrated / Request to be added to the next calibration schedule
