CIVIL LABORATORY MACHINES / EQUIPMENT / INSTRUMENTS MASTERPLAN 2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jan,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PARTICULARS,,,,,,,INVENTORY ,,,,,,,,,,,,PREVENTIVE MAINTENANCE,,,,,,,,,,,,CORRECTIVE MAINTENANCE,,,,,,,,,,,,CALLIBRATION,,,,,,,,,,,
Name of Machine / Equipment / Instrument,,Quantity,Date Aquired ,Serial No. ,Manual Code (0/1),Callibration Code (0/1),JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,A) Frequently Used,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TOTAL STATION   Model: ZTS 320R,1 SET,8/19/2015,Z17976,1,1,x,,,x,,,x,,,x,,x,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,
,,1 SET,8/19/2015,Z17621,1,1,x,,,x,,,x,,,x,,x,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,
,,1 SET,8/19/2015,Z17994,1,1,x,,,x,,,x,,,x,,x,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,
,,1 SET,8/19/2015,Z16702,1,1,x,,,x,,,x,,,x,,x,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,
,,1 SET,8/19/2015,Z18017,1,1,x,,,x,,,x,,,x,,x,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,
,,1 SET,8/19/2015,Z17627,1,1,x,,,x,,,x,,,x,,x,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,
,,1 SET,8/19/2015,Z17722,1,1,x,,,x,,,x,,,x,,x,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,
,,1 SET,8/19/2015,Z17848,1,1,x,,,x,,,x,,,x,,x,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,
,PRISM,8,,,0,,x,,,x,,,x,,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Automatic Engineer's Level ,1 SET,8/19/2015,W1702520,0,1,x,,,x,,,x,,,x,,x,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,
,,1 SET,8/19/2015,W1702261,0,1,x,,,x,,,x,,,x,,x,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,
,,1 SET,8/19/2015,W1702574,0,1,x,,,x,,,x,,,x,,x,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,
,,1 SET,8/19/2015,W1702523,0,1,x,,,x,,,x,,,x,,x,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,
,,1 SET,8/19/2015,W1702524,0,1,x,,,x,,,x,,,x,,x,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,
,,1 SET,8/19/2015,W1702525,0,1,x,,,x,,,x,,,x,,x,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,
,,1 SET,8/19/2015,,0,1,x,,,x,,,x,,,x,,x,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,
,,1 SET,8/19/2015,,0,1,x,,,x,,,x,,,x,,x,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Handheld Global Positioning   System Set  ,1,8/19/2015,3BPO58891,0,1,x,,,x,,,x,,,x,,x,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,x,,
,,1,8/19/2015,3BPO58880,0,1,x,,,x,,,x,,,x,,x,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,x,,
,,1,8/19/2015,3BPO58659,0,1,x,,,x,,,x,,,x,,x,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,x,,
,,1,8/19/2015,3BPO58882,0,1,x,,,x,,,x,,,x,,x,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,x,,
,,1,8/19/2015,3BPO58657,0,1,x,,,x,,,x,,,x,,x,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,x,,
,,1,8/19/2015,3BPO58887,0,1,x,,,x,,,x,,,x,,x,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,x,,
,,1,8/19/2015,3BPO58658,0,1,x,,,x,,,x,,,x,,x,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,x,,
,,1,8/19/2015,3BPO58881,0,1,x,,,x,,,x,,,x,,x,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,x,,
,,1,8/19/2015,3BPO58,0,1,x,,,x,,,x,,,x,,x,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,x,,
,,1,8/19/2015,3BPO58,0,1,x,,,x,,,x,,,x,,x,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,x,,
,,1,8/19/2015,3BPO58646,0,1,x,,,x,,,x,,,x,,x,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Liquid Limit Device,1 SET,8/19/2015,S170/AD/0170,0,0,x,,,x,,,x,,,x,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1 SET,8/19/2015,S170/AD/0185,0,0,x,,,x,,,x,,,x,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1 SET,8/19/2015,S170/AD/0200,0,0,x,,,x,,,x,,,x,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1 SET,8/19/2015,S170/AD/0150,0,0,x,,,x,,,x,,,x,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1 SET,8/19/2015,"S170/AD/0617,",0,0,x,,,x,,,x,,,x,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1 SET,8/19/2015," S170/AD/0119, ",0,0,x,,,x,,,x,,,x,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Flat bars (Bearing) Brand: ENERPAK,1 set,8/19/2015,15-1 06 05 140-040,,1,x,,,x,,,x,,,x,,x,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,x,,,
,        Datum Bar-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,        holding rod-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,        dial guage-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,       loading plates -2 sets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Flat bars (Bearing) Brand: ENERPAK,1 sets,8/19/2015,15-1 06 05 140-040-1,,1,x,,,x,,,x,,,x,,x,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,x,,,
,        Datum Bar-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,        holding rod-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,        dial guage-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,       loading plates -2 sets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Slump Cone Apparatus, Brand: ELE",1 set,8/19/2015,15-1 06 05 140-054,0,0,x,,,x,,,x,,,x,,x,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Sample Container,plastic,snap-on lid, 1liter Brand: ELE",10,8/19/2015,15-1 06 05 140-002 to 9,0,0,x,,,x,,,x,,,x,,x,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Drying Pan (large): Moisture Content Tin,20,8/19/2015,15-1 06 05 140-003 to 19,0,0,x,,,x,,,x,,,x,,x,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Trimming knife,130mm long Brand:DRAPE",2,8/19/2015,15-1 06 05 140-005 to 1,0,0,x,,,x,,,x,,,x,,x,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Metal Tray,Sample Tray, heavy duty, galvanized steel, nesting 306 x 306 x 38mm, Brand: ELE",10,8/19/2015,15-1 06 05 140-007 to 9,0,0,x,,,x,,,x,,,x,,x,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Mixing Pan Sample Tray, stainless steel, spinning, without seams, 305mm diameter x 50mm, Brand: ELE",3,8/19/2015,15-1 06 05 140-008 to 10,0,0,x,,,x,,,x,,,x,,x,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Mortar and Pestle (durable), porcelain Brand: Milton Brook",2,8/19/2015,15-1 06 05 140-010 to 1,0,0,x,,,x,,,x,,,x,,x,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Sample Container, for soil, Tinned steel",2,8/19/2015,15-1 06 05 140-015 to 1,0,0,x,,,x,,,x,,,x,,x,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Scoop , Brand: ELE",5,8/19/2015,15-1 06 05 140-016 to 4,0,0,x,,,x,,,x,,,x,,x,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Wash bottle,5,,,,,x,,,x,,,x,,,x,,x,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Shovel 1.5kg cap., Brand: Rutland",4,8/19/2015,15-1 06 05 140-017 to 3,0,0,x,,,x,,,x,,,x,,x,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Tape (fiber glass, 100m)",8,8/19/2015,15-1 06 05 140-009 to 7,0,1,x,,,x,,,x,,,x,,x,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,x,,
,"Range Pole, (3m,aluminum)",20,8/19/2015,15-1 06 05 140-020 to 19,,0,x,,,x,,,x,,,x,,x,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,
,Plumb Bob,10,,,,,x,,,x,,,x,,,x,,x,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,
,TRIPOD,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,         SMALL,12,,,0,0,x,,,x,,,x,,,x,,x,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,
,         BIG ( 17 OLD+4 NEW),21,,,0,0,x,,,x,,,x,,,x,,x,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,
,LEVELING ROD( STADIA ROD),25,,,,1,x,,,x,,,x,,,x,,x,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,x,
,Marking Pins/Chaining Pins,112,,,0,0,x,,,x,,,x,,,x,,x,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
