COLLEGE OF TECHNOLOGY,,,,,,,,,,,,,,,LEGENDS:,,,,,,,,,,,,LEGENDS:,,,,,,,,,,,,,LEGENDS:,,,,,,,,,,,,,LEGENDS:,,,,,,,,,,,,,,,,,,
AUTOCADD LABORATORY BUILIDNG 44 & ROOM 203,,,,,,,,,,,,,,,C - Complete,,,,,,INC - Incomplete,,,,,,X - Schedule,,,,,,,,P - Performed,,,,,X - Schedule,,,,,,,,P - Performed,,,,,X - Next Calibration,,,,,,,,,,,,,,,,,,
MACHINES/EQUIPMENT/INSTRUMENTS (MEI'S) MASTER PLAN FY 2024,,,,,,,,,,,,,,,X - Schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P - Performed,,,,,,,,,,,,,,,,,,
No.,Coding,Manufacturer/Brand,Particular's/Name of MEI's,Type Model,QTY,Unit,Aquisition Aquired ,Serial/Product No. ,Price (Php),Condition Please Put (/),,User Manual Code (0/1),Callibration Code (0/1),Memorandum Receipt (Name of Person),JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,STATUS,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,STATUS,CALIBRATION FREQUENCY,DATE CALIBRATED,CALIBRATION DUE ,CERTIFICATE NO.,TRACEABILITY,TYPE OF CALIBRATION,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,REMARKS / STATUS
,,,,,,,,,,Functional,Non-Functional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A) Frequently Used,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,16,,"System Unit (Acer Extensa M2610), MOUSE & KEYBOARD",,,,01/30/2016,DTX0CSPO-1153-902193-9600,25545.8,/,,0,0,VIMA SOCORO TANDOG,C,,C,,X,,X,,X,,X,,,,,P,P,,X,,X,,X,,FUNCTIONAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No need for calibration
50,17,,"System Unit (Acer Extensa M2610), MOUSE & KEYBOARD",,,,01/30/2016,DTX0CSPO-1153-902234-9600,25545.8,/,,0,0,VIMA SOCORO TANDOG,C,,C,,X,,X,,X,,X,,,,,P,P,,X,,X,,X,,FUNCTIONAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No need for calibration
51,18,,"System Unit (Acer Extensa M2610), MOUSE & KEYBOARD",,,,01/30/2016,DTX0CSPO-1153-902194-9600,25545.8,/,,0,0,VIMA SOCORO TANDOG,C,,C,,X,,X,,X,,X,,,,,P,P,,X,,X,,X,,FUNCTIONAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No need for calibration
52,19,,"System Unit (Acer Extensa M2610), MOUSE & KEYBOARD",,,,01/30/2016,DTX0CSPO-1154-000E7A-9600,25545.8,/,,0,0,VIMA SOCORO TANDOG,C,,C,,,X,,X,,X,,X,,,,P,,X,,X,,X,,X,FUNCTIONAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No need for calibration
53,20,,"System Unit (Acer Extensa M2610), MOUSE & KEYBOARD",,,,01/30/2016,DTX0CSPO-1153-90221A-9600,25545.8,/,,0,0,VIMA SOCORO TANDOG,C,,C,,,X,,X,,X,,X,,,,P,,X,,X,,X,,X,FUNCTIONAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No need for calibration
54,21,,"System Unit (Acer Extensa M2610), MOUSE & KEYBOARD",,,,,DTX0CSPO-1153-9021CA-9600 NO TAG,,/,,0,0,,C,,C,,,X,,X,,X,,X,,P,,,,X,,X,,X,,X,FUNCTIONAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No need for calibration
55,22,,"System Unit (Acer Extensa M2610), MOUSE & KEYBOARD",,,,01/30/2016,DTX0CSPO-1154-000E7D-9600,25545.8,/,,0,0,VIMA SOCORO TANDOG,C,,C,,,X,,X,,X,,X,,P,,,,X,,X,,X,,X,FUNCTIONAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No need for calibration
56,23,,"System Unit (Acer Extensa M2610), MOUSE & KEYBOARD",,,,01/30/2016,DTX0CSPO-1154-39021B0-9600,25545.8,,/,0,0,VIMA SOCORO TANDOG,INC,,INC,,,X,,X,,X,,X,,P,,,,X,,X,,X,,X,NOT FUNCTIONAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No need for calibration
57,24,,"System Unit (Acer Extensa M2610), MOUSE & KEYBOARD",,,,01/30/2016,DTX0CSPO-1154-000E56-9600 ,25545.8,/,,0,0,VIMA SOCORO TANDOG,C,,C,,,X,,X,,X,,X,,P,,,,X,,X,,X,,X,FUNCTIONAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No need for calibration
58,25,,"System Unit (Acer Extensa M2610), MOUSE & KEYBOARD",,,,01/30/2016,DTXOCSPO-1153-902202-9600,25545.8,/,,0,0,VIMA SOCORO TANDOG,C,,C,,,X,,X,,X,,X,,P,,,,X,,X,,X,,X,FUNCTIONAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No need for calibration
59,26,,"System Unit (Acer Extensa M2610), MOUSE & KEYBOARD",,,,01/30/2016,DTX0CSPO-1153-90220A-9600  ,25545.8,/,,0,0,VIMA SOCORO TANDOG,C,,C,,,X,,X,,X,,X,,P,,,,X,,X,,X,,X,FUNCTIONAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No need for calibration
