No.,Manufacturer/Brand,Particular's/Name of MEI's,Type Model,QTY,Unit,Aquisition Aquired ,Serial/Product No. ,Price (Php),Condition Please Put (/),,User Manual Code (0/1),Callibration Code (0/1),Memorandum Receipt (Name of Person),JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,STATUS,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,STATUS,CALIBRATION FREQUENCY,DATE CALIBRATED,CALIBRATION DUE ,CERTIFICATE NO.,TRACEABILITY,TYPE OF CALIBRATION,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,REMARKS / STATUS
,,,,,,,,,Functional,Non-Functional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A) Frequently Used,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ATTEN,SOLDERING IRON & STATION,AT-90DH,1,SET,08/20/2015,10403150636177,"P8,500",/,,1,1,Romano Pimentel,X,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not Calibrated/ Request to be added to the next calibration schedule
,ATTEN,SOLDERING IRON & STATION,AT-90DH,1,SET,08/20/2015,10403150636184,"P8,500",/,,1,1,Romano Pimentel,X,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not Calibrated/ Request to be added to the next calibration schedule
,ATTEN,SOLDERING IRON & STATION,AT-90DH,1,SET,08/20/2015,10403150636192,"P8,500",/,,1,1,Romano Pimentel,X,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not Calibrated/ Request to be added to the next calibration schedule
,ATTEN,SOLDERING IRON & STATION,AT-90DH,1,SET,08/20/2015,10403150636191,"P8,500",/,,1,1,Romano Pimentel,X,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not Calibrated/ Request to be added to the next calibration schedule
B)  Moderately Used,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not Calibrated/ Request to be added to the next calibration schedule
1,ATTEN,DIGITAL MULTIMETER,AT9205L,1,SET,02/14/2014,AWY1401000397,"P2,497",/,,1,1,Romano Pimentel,X,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not Calibrated/ Request to be added to the next calibration schedule
2,ATTEN,DIGITAL MULTIMETER,AT9205L,1,SET,02/14/2014,AWY1401000152,"P2,497",/,,1,1,Romano Pimentel,X,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yearly,10/10/2023,10/10/2024,2023-3725,DOST-10 RML,Outsourced,,,,,,,,,,X,,,Calibrated
3,ATTEN,DIGITAL MULTIMETER,AT9205L,1,SET,02/14/2014,AWY1401000151,"P2,497",/,,1,1,Romano Pimentel,X,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yearly,10/10/2023,10/10/2024,2023-3720,DOST-10 RML,Outsourced,,,,,,,,,,X,,,Calibrated
4,ATTEN,DIGITAL MULTIMETER,AT9205L,1,SET,02/14/2014,AWY1401000167,"P2,497",/,,1,1,Romano Pimentel,X,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not Calibrated/ Request to be added to the next calibration schedule
5,ATTEN,DIGITAL MULTIMETER,AT9205L,1,SET,02/14/2014,AWY1401000169,"P2,497",/,,1,1,Romano Pimentel,X,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not Calibrated/ Request to be added to the next calibration schedule
6,ATTEN,DIGITAL MULTIMETER,AT9205L,1,SET,02/14/2014,AWY1401000172,"P2,497",/,,1,1,Romano Pimentel,X,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not Calibrated/ Request to be added to the next calibration schedule
7,ATTEN,DIGITAL MULTIMETER,AT9205L,1,SET,02/14/2014,AWY1401000351,"P2,497",/,,1,1,Romano Pimentel,X,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not Calibrated/ Request to be added to the next calibration schedule
8,ATTEN,DIGITAL MULTIMETER,AT9205L,1,SET,02/14/2014,AWY1401000497,"P2,497",/,,1,1,Romano Pimentel,X,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not Calibrated/ Request to be added to the next calibration schedule
9,ATTEN,DIGITAL MULTIMETER,AT9205L,1,SET,02/14/2014,AWY1401000171,"P2,497",/,,1,1,Romano Pimentel,X,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not Calibrated/ Request to be added to the next calibration schedule
10,ATTEN,DIGITAL MULTIMETER,AT9205L,1,SET,02/14/2014,AWY1401000500,"P2,497",/,,1,1,Romano Pimentel,X,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not Calibrated/ Request to be added to the next calibration schedule
11,ATTEN,DIGITAL MULTIMETER,AT9205L,1,SET,02/14/2014,AWY1401000168,"P2,497",/,,1,1,Romano Pimentel,X,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not Calibrated/ Request to be added to the next calibration schedule
12,ATTEN,DIGITAL MULTIMETER,AT9205L,1,SET,02/14/2014,AWY1401000080,"P2,497",/,,1,1,Romano Pimentel,X,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yearly,10/10/2023,10/10/2024,2023-3721,DOST-10 RML,Outsourced,,,,,,,,,,X,,,Calibrated
13,ATTEN,DIGITAL MULTIMETER,AT9205L,1,SET,02/14/2014,AWY1401000091,"P2,497",/,,1,1,Romano Pimentel,X,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yearly,10/10/2023,10/10/2024,2023-3718,DOST-10 RML,Outsourced,,,,,,,,,,X,,,Calibrated
14,ATTEN,DIGITAL MULTIMETER,AT9205L,1,SET,,,,/,,1,1,Romano Pimentel,X,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not Calibrated/ Request to be added to the next calibration schedule
15,ATTEN,DIGITAL MULTIMETER,AT9205L,1,SET,,,,/,,1,1,Romano Pimentel,X,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not Calibrated/ Request to be added to the next calibration schedule
16,ATTEN,DIGITAL MULTIMETER,AT9205L,1,SET,,,,/,,1,1,Romano Pimentel,X,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not Calibrated/ Request to be added to the next calibration schedule
17,ATTEN,DIGITAL MULTIMETER,AT9205L,1,SET,,,,/,,1,1,Romano Pimentel,X,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not Calibrated/ Request to be added to the next calibration schedule
18,ATTEN,DIGITAL MULTIMETER,AT9205L,1,SET,,,,/,,1,1,Romano Pimentel,X,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not Calibrated/ Request to be added to the next calibration schedule
19,ATTEN,DIGITAL MULTIMETER,AT9205L,1,SET,,,,/,,1,1,Romano Pimentel,X,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not Calibrated/ Request to be added to the next calibration schedule
20,ATTEN,DIGITAL MULTIMETER,AT9205L,1,SET,,,,/,,1,1,Romano Pimentel,X,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not Calibrated/ Request to be added to the next calibration schedule
21,ATTEN,DIGITAL MULTIMETER,AT9205L,1,SET,,,,/,,1,1,Romano Pimentel,X,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not Calibrated/ Request to be added to the next calibration schedule
22,ATTEN,DIGITAL MULTIMETER,AT9205L,1,SET,,,,/,,1,1,Romano Pimentel,X,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not Calibrated/ Request to be added to the next calibration schedule
23,ATTEN,DIGITAL MULTIMETER,AT9205L,1,SET,,,,/,,1,1,Romano Pimentel,X,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not Calibrated/ Request to be added to the next calibration schedule
24,ATTEN,DIGITAL MULTIMETER,AT9205L,1,SET,,,,/,,1,1,Romano Pimentel,X,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not Calibrated/ Request to be added to the next calibration schedule
